id,name,set,num,raw,psa8,n8,psa9,n9,psa10,n10,conf10,hot,updated,img
250307,Surfing Pikachu VMAX,Celebrations,009/025,7.65,19.51,19,26,202,80.995,762,high,1,2026-08-18,250307
250305,Flying Pikachu VMAX,Celebrations,007/025,8.78,18.5,28,25.87,222,86,761,high,1,2026-08-18,250305
250304,Flying Pikachu V,Celebrations,006/025,4.8,17.5,47,23.5,295,99.99,438,high,1,2026-08-18,250304
250306,Surfing Pikachu V,Celebrations,008/025,4.98,17.75,50,25,304,102,425,high,1,2026-08-18,250306
250295,Mew (Secret),Celebrations,025/025,63.5,48,9,69.99,211,217.5,348,high,1,2026-08-18,250295
45163,Pikachu,Jungle,60/64,25.82,40.5,175,79.99,187,554.9300000000001,148,medium,1,2026-08-18,45163
45154,Eevee,Jungle,51/64,16.56,30,84,45,125,210,83,high,1,2026-08-18,45154
250309,Mew,Celebrations,011/025,3.64,15,368,27,340,695,70,medium,1,2026-08-18,250309
45159,Meowth,Jungle,56/64,6.29,31,59,50.97,76,342.495,68,high,1,2026-08-18,45159
44422,Muk (13),Fossil,13/62,57.11,40.66,180,75,205,744.995,66,medium,1,2026-08-18,44422
250303,Pikachu,Celebrations,005/025,6.07,16,366,35,275,693.5,66,high,1,2026-08-18,250303
45153,Cubone,Jungle,50/64,10.68,46.06,63,87.99,94,440,49,medium,1,2026-08-18,45153
44420,Magneton (11),Fossil,11/62,48.59,69.475,188,114.995,162,989.495,48,medium,1,2026-08-18,44420
44427,Dragonite (19),Fossil,19/62,99.42,60.620000000000005,88,179,78,1524.995,46,high,1,2026-08-18,44427
44455,Psyduck,Fossil,53/62,12.1,39,57,76,73,505,44,medium,1,2026-08-18,44455
44452,Kabuto,Fossil,50/62,22.52,27.29,128,58.785,101,673.69,43,high,1,2026-08-18,44452
44454,Omanyte,Fossil,52/62,3.48,20,33,35.33,36,206.5,41,high,1,2026-08-18,44454
45157,Jigglypuff,Jungle,54/64,8.67,28.26,47,55,87,419.99,41,high,1,2026-08-18,45157
44456,Shellder,Fossil,54/62,1.78,20,24,26.5,32,175,39,medium,1,2026-08-18,44456
44449,Geodude,Fossil,47/62,3.48,23.465,26,39,52,175,38,medium,1,2026-08-18,44449
44457,Slowpoke,Fossil,55/62,6.84,29.494999999999997,59,43,56,327.495,37,medium,1,2026-08-18,44457
113670,M Charizard EX,Generations,12/83,163.65,174.995,140,355,93,2805,37,high,1,2026-08-18,113670
44424,Zapdos (15),Fossil,15/62,151.08,142,223,275,192,2150,35,low,1,2026-08-18,44424
44462,Gambler,Fossil,60/62,4.75,42,37,99.99,58,788.88,35,medium,1,2026-08-18,44462
45164,Rhyhorn,Jungle,61/64,3.65,19.45,24,31,35,188.78,35,medium,1,2026-08-18,45164
44428,Gengar (20),Fossil,20/62,102.88,99.495,77,180,67,2215,34,low,1,2026-08-18,44428
44451,Horsea,Fossil,49/62,3.27,21.125,22,34.99,68,164.625,34,high,1,2026-08-18,44451
45155,Exeggcute,Jungle,52/64,2.95,19,24,29.9,31,199.495,34,medium,1,2026-08-18,45155
86968,Machamp (Prime),Triumphant,95/102,51.18,74.9,31,189.99,53,1952.5,34,medium,1,2026-08-18,86968
44453,Krabby,Fossil,51/62,2.64,18.744999999999997,32,31,54,162.5,33,low,1,2026-08-18,44453
44419,Lapras (10),Fossil,10/62,110.04,79.99,266,335.79,174,5250,32,medium,1,2026-08-18,44419
106982,Jolteon (20),Jungle,20/64,55.86,38.25,31,65.5,44,699.995,32,high,1,2026-08-18,106982
44458,Tentacool,Fossil,56/62,1.77,17.51,18,27.99,41,152.5,31,medium,1,2026-08-18,44458
84144,Celebi,Skyridge,145/144,379.99,825,28,1349,37,8004,31,medium,1,2026-08-18,84144
44461,Energy Search,Fossil,59/62,0.99,16.5,18,26,27,100.06,30,medium,1,2026-08-18,44461
45158,Mankey,Jungle,55/64,2.38,22.5,34,31,52,193.77,30,high,1,2026-08-18,45158
83592,Arceus (AR1),Arceus,AR1,64.77,74.975,31,135,23,319,30,low,1,2026-08-18,83592
